Date,Open,High,Low,Close,Adj Close,Volume
2020-06-04,1540.000000,1589.000000,1540.000000,1579.949951,1574.040771,710718
2020-06-05,1601.900024,1617.699951,1574.300049,1580.599976,1574.688354,658406
2020-06-08,1624.000000,1624.000000,1565.050049,1570.050049,1564.177856,1111940
2020-06-09,1580.000000,1582.349976,1533.050049,1537.099976,1531.351074,504634
2020-06-10,1541.099976,1579.000000,1540.599976,1572.000000,1566.120483,421611
2020-06-11,1569.000000,1569.000000,1530.949951,1537.500000,1531.749512,330910
2020-06-12,1495.000000,1593.000000,1495.000000,1588.800049,1582.857788,772239
2020-06-15,1577.000000,1626.699951,1561.550049,1615.000000,1608.959717,1125400
2020-06-16,1641.500000,1647.849976,1585.150024,1617.500000,1611.450317,1267703
2020-06-17,1608.000000,1634.949951,1602.000000,1615.400024,1609.358154,890838
2020-06-18,1605.550049,1665.000000,1605.550049,1656.250000,1650.055420,1013987
2020-06-19,1674.699951,1788.599976,1660.599976,1759.500000,1752.919189,2929255
2020-06-22,1775.050049,1804.099976,1734.849976,1747.199951,1740.665161,2036832
2020-06-23,1754.000000,1764.150024,1715.800049,1720.050049,1713.616821,1353529
2020-06-24,1739.800049,1772.000000,1712.599976,1727.349976,1720.889404,1358724
2020-06-25,1729.000000,1749.000000,1713.849976,1717.949951,1711.524536,654657
2020-06-26,1730.349976,1751.500000,1717.199951,1742.599976,1736.082397,1385178
2020-06-29,1728.000000,1738.900024,1715.000000,1723.150024,1716.705200,670107
2020-06-30,1736.300049,1740.699951,1696.000000,1703.349976,1696.979248,992945
